customer_id,event_date,avg_monthly_usage,churned
1,2022-01-01,61.99,0
1,2022-02-01,85.53,0
1,2022-03-01,71.94,0
1,2022-04-01,67.69,0
1,2022-05-01,69.28,0
1,2022-06-01,73.73,0
1,2022-07-01,74.57,0
1,2022-08-01,80.18,0
1,2022-09-01,81.94,0
1,2022-10-01,82.47,0
1,2022-11-01,92.73,0
1,2022-12-01,94.54,0
1,2023-01-01,69.35,0
1,2023-02-01,90.92,0
1,2023-03-01,86.53,0
1,2023-04-01,88.41,0
1,2023-05-01,80.98,0
1,2023-06-01,102.02,0
1,2023-07-01,93.25,0
1,2023-08-01,97.09,0
2,2022-01-01,105.64,0
2,2022-02-01,113.99,0
2,2022-03-01,110.77,0
2,2022-04-01,106.12,0
2,2022-05-01,104.31,0
2,2022-06-01,109.05,0
2,2022-07-01,107.32,0
2,2022-08-01,110.31,0
2,2022-09-01,109.36,0
2,2022-10-01,112.83,0
2,2022-11-01,104.36,0
2,2022-12-01,116.96,0
2,2023-01-01,126.04,0
2,2023-02-01,117.94,1
2,2023-03-01,113.04,1
2,2023-04-01,116.75,1
2,2023-05-01,107.03,1
2,2023-06-01,104.24,1
2,2023-07-01,116.84,1
2,2023-08-01,110.17,1
3,2022-01-01,63.72,0
3,2022-02-01,64.23,0
3,2022-03-01,65.54,0
3,2022-04-01,62.84,0
3,2022-05-01,54.1,0
3,2022-06-01,57.11,0
3,2022-07-01,65.6,0
3,2022-08-01,62.78,0
3,2022-09-01,61.52,0
3,2022-10-01,57.15,0
3,2022-11-01,58.56,0
3,2022-12-01,54.78,0
3,2023-01-01,51.06,0
3,2023-02-01,57.3,0
3,2023-03-01,47.87,0
3,2023-04-01,43.5,0
3,2023-05-01,53.45,0
3,2023-06-01,52.19,0
3,2023-07-01,34.77,0
3,2023-08-01,46.04,0
4,2022-01-01,87.74,0
4,2022-02-01,96.02,0
4,2022-03-01,82.68,0
4,2022-04-01,94.29,0
4,2022-05-01,60.44,0
4,2022-06-01,86.52,0
4,2022-07-01,79.77,0
4,2022-08-01,75.77,0
4,2022-09-01,77.87,0
4,2022-10-01,60.57,0
4,2022-11-01,73.49,0
4,2022-12-01,77.05,0
4,2023-01-01,84.89,0
4,2023-02-01,68.24,0
4,2023-03-01,64.99,1
4,2023-04-01,66.43,1
4,2023-05-01,76.6,1
4,2023-06-01,71.02,1
4,2023-07-01,63.31,1
4,2023-08-01,70.54,1
5,2022-01-01,116.5,0
5,2022-02-01,109.26,0
5,2022-03-01,116.7,0
5,2022-04-01,101.15,0
5,2022-05-01,103.91,0
5,2022-06-01,106.13,0
5,2022-07-01,100.13,0
5,2022-08-01,129.72,0
5,2022-09-01,100.95,0
5,2022-10-01,114.76,0
5,2022-11-01,103.29,0
5,2022-12-01,104.02,0
5,2023-01-01,109.41,0
5,2023-02-01,96.69,0
5,2023-03-01,101.94,0
5,2023-04-01,105.23,0
5,2023-05-01,99.97,0
5,2023-06-01,99.79,0
5,2023-07-01,112.88,0
5,2023-08-01,111.97,0
6,2022-01-01,48.99,0
6,2022-02-01,53.35,0
6,2022-03-01,56.9,0
6,2022-04-01,55.2,0
6,2022-05-01,55.32,0
6,2022-06-01,57.48,0
6,2022-07-01,62.27,0
6,2022-08-01,62.25,0
6,2022-09-01,67.1,0
6,2022-10-01,60.28,0
6,2022-11-01,63.4,0
6,2022-12-01,71.6,0
6,2023-01-01,66.26,0
6,2023-02-01,77.23,1
6,2023-03-01,78.81,1
6,2023-04-01,80.25,1
6,2023-05-01,71.89,1
6,2023-06-01,77.53,1
6,2023-07-01,76.55,1
6,2023-08-01,84.18,1
7,2022-01-01,59.2,0
7,2022-02-01,46.92,0
7,2022-03-01,47.06,0
7,2022-04-01,54.44,0
7,2022-05-01,48.12,0
7,2022-06-01,28.53,0
7,2022-07-01,43.77,0
7,2022-08-01,44.08,0
7,2022-09-01,31.24,0
7,2022-10-01,37.92,0
7,2022-11-01,42.7,0
7,2022-12-01,31.58,0
7,2023-01-01,23.15,0
7,2023-02-01,21.43,0
7,2023-03-01,22.28,0
7,2023-04-01,22.12,0
7,2023-05-01,17.91,0
7,2023-06-01,18.18,0
7,2023-07-01,11.98,0
7,2023-08-01,11.6,0
8,2022-01-01,64.12,0
8,2022-02-01,65.12,0
8,2022-03-01,57.99,0
8,2022-04-01,64.89,0
8,2022-05-01,65.64,0
8,2022-06-01,58.65,0
8,2022-07-01,77.61,0
8,2022-08-01,67.85,0
