customer_id,signup_year,signup_month,days_since_signup,tenure_months,avg_monthly_spend,purchase_frequency,discount_sensitivity,returns_rate,email_open_rate,ad_click_rate,loyalty_score,support_tickets,churn_risk_score,credit_score_proxy,customer_lifetime_value
1,2022,8,899.0949907074117,29,123.9169073399939,3,0.4013220733094797,0.043396300159928965,0.04215607030395469,0.023646593724448512,0.12357397424963223,1,0.9597157816447784,671.0294347086949,2691.193107233254
2,2019,9,2017.615222924053,66,204.8140549542561,5,0.26684007244967933,0.33896847992884227,0.5406741259195398,0.18015313652445977,0.3239544606634585,1,0.7892695211682785,746.0747725593455,11690.801889285292
3,2020,3,1720.9377940690338,57,218.90581555900076,3,0.028719071655236718,0.04184544573385494,0.5172271238842876,0.17358323839630171,0.26842964816223164,2,0.5334102685256178,601.1640427223608,13094.093873838448
4,2022,3,1001.9620355952231,33,188.02806044802247,4,0.4216018953086191,0.14061125322139612,0.5123659474524092,0.2775713500251662,0.49894130242083923,3,0.6990535871169314,722.688138515207,6251.64401286114
5,2018,4,2522.6209832792233,84,142.41356519563172,6,0.19241919760185017,0.051115898700900234,0.46282736259297674,0.12384361829201591,0.5006343869068484,2,0.43934754092122275,659.8602353143237,16474.610236314533
6,2023,5,709.3840644355801,23,103.10627902290592,1,0.41905083413785443,0.18356981230962768,0.6323509135866194,0.10404515435081835,0.4551202500619499,0,0.6285867137974632,776.2997051677929,1711.2303778737341
7,2020,10,1481.1370938953853,51,170.4109690330933,3,0.2607158799076712,0.0578762506414082,0.1658414248200994,0.1992139762175579,0.17504198203979593,0,0.7923789251759302,588.6110691474607,5456.955297576906
8,2020,1,1859.9227544241628,62,178.49191207344504,6,0.17064309706368436,0.07155991689642886,0.27732559228275716,0.15264212895115048,0.34577176952438604,1,0.7341246339170887,655.7693289860805,11012.348144051775
9,2022,7,888.5474599460898,30,347.9852837994286,8,0.2822299054982224,0.08176759250310812,0.07394098236158804,0.022495221673499835,0.47492497648296395,2,0.7330373339732568,695.9345878897087,11487.122360706573
10,2017,9,2702.916361960426,90,201.67830120235908,3,0.45454505069955725,0.06620221644815301,0.3916145954175988,0.3710002690258263,0.5039065908562146,3,0.6427420788571728,577.7124301529207,15628.339007011939
11,2018,8,2451.852551303462,81,150.66418933207405,2,0.47019876692957524,0.02250094054900955,0.5776549304229581,0.20433205404981294,0.4817029851660136,2,0.5050322468761738,539.8878273371371,9116.771804207277
12,2022,5,930.3806835243215,31,215.40731443679405,5,0.5850207189007468,0.033134962925664105,0.290824693784023,0.15894114758383027,0.31138155198402473,1,0.9262452270785694,666.7771970269563,4895.891851119569
13,2018,4,2422.7901532265864,81,228.64641669004715,5,0.09852185534007991,0.04150295498363512,0.10537165777483798,0.04277710004134036,0.3030478274664035,0,0.6382999570417793,643.2748312736239,20760.485370421968
14,2018,12,2251.934579405191,76,217.98130770083532,2,0.13620519453613694,0.398824376331656,0.4253901295143415,0.08795013441094561,0.21981448010901622,0,0.7909644960372744,618.7247438774444,10312.858467900187
15,2023,7,537.8144697556322,18,46.646443291512995,2,0.38834176658179054,0.07504344716980194,0.3041912978310646,0.007007773009510097,0.40853668684440736,2,0.6546220602780525,575.4025295206782,778.0170536494624
16,2020,5,1813.4455539382136,60,99.43518266913671,2,0.30620781894289845,0.06560879515209472,0.2528182833802141,0.0875959610308858,0.34361287140339725,1,0.7003712517289812,757.1086478014907,4743.1768792580515
17,2019,7,1963.1782374597606,66,123.18075765813121,4,0.19205874704115644,0.18117367389901684,0.19883532618896013,0.08490125040026895,0.3022894267553602,2,0.8442682708837468,636.9229914287592,4856.757377022697
18,2023,12,319.93320285981116,12,166.34649567571827,4,0.2320236224147269,0.13605715557542822,0.6926926708078746,0.02546074926774739,0.43535729572481857,2,0.537453714665699,544.4623820300925,1077.7723284063418
19,2023,1,885.4848030242273,28,63.227704019236654,6,0.38040435440990455,0.20983723481732303,0.1711449464656933,0.06638887849632047,0.4407744752436975,2,0.5752602629462892,501.85473470336046,1945.4451760135632
20,2018,1,2616.703509682014,87,191.30093132940178,8,0.14986404017909793,0.2692898029974548,0.20824209918605247,0.1725621645052655,0.5136990743158635,2,0.7875748871491545,635.7665875843395,17300.41308889351
21,2021,10,1255.5685282281809,42,114.35365330253568,5,0.43014066804247086,0.07175708084572865,0.4052868619395529,0.2806810889985463,0.2903552436804746,1,0.5778692719325823,685.8681267951771,4629.666783389379
22,2020,3,1797.8198961040875,59,143.835606801744,3,0.2819395454643117,0.23378389951291983,0.3089145516398126,0.0018968153649377313,0.47040315191024756,1,0.7303010268466366,623.6115732529452,5652.026655107344
23,2017,11,2702.829586829676,90,108.12959462806961,3,0.18986762446239794,0.292923633911594,0.4731276684204501,0.19797952233970198,0.32807538942379644,1,0.6189211739221581,724.4715396008448,8796.835917939183
24,2023,2,746.6406362326247,24,104.98293752599211,3,0.07717439993498455,0.07925543647389709,0.2764522767636507,0.23114986699280204,0.33377729461377736,2,0.8234323518319316,634.9508438375921,2096.896090317913
25,2019,2,2184.9272243175446,72,44.699955038314656,5,0.36714079684061457,0.1346504657845481,0.4593330478380403,0.03726321519574914,0.49980545688492073,2,0.6942168759712448,568.474739702064,3803.979848390161
