customer_id,event_date,avg_monthly_usage,churned,customer_segment,income,tenure_years
1,2022-01-01,61.99,0,segment_20,32133.0,-1
1,2022-02-01,85.53,0,segment_12,17875.0,8
1,2022-03-01,71.94,0,segment_11,26139.0,10
1,2022-04-01,67.69,0,segment_9,54872.0,16
1,2022-05-01,69.28,0,segment_10,48679.0,11
1,2022-06-01,73.73,0,segment_17,44392.0,14
1,2022-07-01,74.57,0,segment_4,22090.0,17
1,2022-08-01,80.18,0,segment_19,35993.0,12
1,2022-09-01,81.94,0,segment_12,10869.0,12
1,2022-10-01,82.47,0,segment_16,39386.0,10
1,2022-11-01,92.73,0,segment_11,94590.0,9
1,2022-12-01,94.54,0,segment_16,16572.0,11
1,2023-01-01,69.35,0,segment_0,28238.0,8
1,2023-02-01,90.92,0,segment_7,39386.0,6
1,2023-03-01,86.53,0,segment_15,85110.0,10
1,2023-04-01,88.41,0,segment_14,30670.0,8
1,2023-05-01,80.98,0,segment_18,26493.0,8
1,2023-06-01,102.02,0,segment_24,12315.0,16
1,2023-07-01,93.25,0,segment_9,42704.0,14
1,2023-08-01,97.09,0,segment_1,136659.0,15
2,2022-01-01,105.64,0,segment_24,47401.0,10
2,2022-02-01,113.99,0,segment_24,39601.0,9
2,2022-03-01,110.77,0,segment_3,48690.0,7
2,2022-04-01,106.12,0,segment_3,39868.0,6
2,2022-05-01,104.31,0,segment_19,24641.0,17
2,2022-06-01,109.05,0,segment_11,65773.0,10
2,2022-07-01,107.32,0,segment_16,45956.0,5
2,2022-08-01,110.31,0,segment_20,40561.0,11
2,2022-09-01,109.36,0,segment_21,22354.0,7
2,2022-10-01,112.83,0,segment_3,87737.0,10
2,2022-11-01,104.36,0,segment_7,59803.0,7
2,2022-12-01,116.96,0,segment_15,39386.0,7
2,2023-01-01,126.04,0,segment_14,73210.0,9
2,2023-02-01,117.94,1,segment_13,29775.0,14
2,2023-03-01,113.04,1,segment_18,25104.0,14
2,2023-04-01,116.75,1,segment_10,25442.0,11
2,2023-05-01,107.03,1,segment_24,13868.0,12
2,2023-06-01,104.24,1,segment_12,39386.0,12
2,2023-07-01,116.84,1,segment_22,13377.0,9
2,2023-08-01,110.17,1,segment_7,39386.0,14
3,2022-01-01,63.72,0,segment_22,39386.0,9
3,2022-02-01,64.23,0,segment_8,38114.0,7
3,2022-03-01,65.54,0,segment_1,36673.0,6
3,2022-04-01,62.84,0,segment_19,32990.0,10
3,2022-05-01,54.1,0,segment_1,39386.0,10
3,2022-06-01,57.11,0,segment_7,19863.0,8
3,2022-07-01,65.6,0,segment_17,39386.0,7
3,2022-08-01,62.78,0,segment_23,28844.0,10
